id,low,high,open,close,amount,quantity,buytakeramount,buytakerquantity,tradecount,ts,weightedaverage,interval_type,starttime,closetime,dt_create_utc,ts_create_utc,ts_insert_utc,year,month,day,hour
BTC_USDT,45299.64,45369.98,45345.9,45299.64,104791.3,2.311741,56489.64,1.246206,80,0,45330.05,MINUTE_1,1704168960,1704169019,2024-01-02,2024-01-02 04:16:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45289.07,45341.44,45300.18,45327.38,96630.05,2.132663,44496.8,0.982092,75,0,45309.58,MINUTE_1,1704169020,1704169079,2024-01-02,2024-01-02 04:17:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45314.14,45352.98,45325.63,45318.86,105443.77,2.325774,51599.61,1.138168,73,0,45337.07,MINUTE_1,1704169080,1704169139,2024-01-02,2024-01-02 04:18:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45273.51,45335.62,45318.87,45282.5,81342.45,1.79546,36461.83,0.804769,60,0,45304.52,MINUTE_1,1704169140,1704169199,2024-01-02,2024-01-02 04:19:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45277.27,45314.49,45280.14,45304.12,102109.6,2.254654,58452.31,1.290652,73,0,45288.37,MINUTE_1,1704169200,1704169259,2024-01-02,2024-01-02 04:20:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45280.59,45318.69,45301.99,45318.69,93962.42,2.074585,41838.4,0.923786,76,0,45292.15,MINUTE_1,1704169260,1704169319,2024-01-02,2024-01-02 04:21:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45292.64,45324.03,45320.21,45295.22,90166.53,1.990104,46152.73,1.018685,66,0,45307.44,MINUTE_1,1704169320,1704169379,2024-01-02,2024-01-02 04:22:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45294.36,45319.61,45294.74,45319.61,109673.68,2.420674,59355.06,1.310035,78,0,45307.08,MINUTE_1,1704169380,1704169439,2024-01-02,2024-01-02 04:23:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45283.45,45321.12,45320.74,45285.01,94366.43,2.083193,43380.3,0.957602,72,0,45298.94,MINUTE_1,1704169440,1704169499,2024-01-02,2024-01-02 04:24:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45282.95,45298.35,45292.29,45298.34,105614.23,2.331906,42884.38,0.946864,79,0,45290.94,MINUTE_1,1704169500,1704169559,2024-01-02,2024-01-02 04:25:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45296.98,45298.72,45298.34,45298.55,39493.84,0.871859,22165.69,0.489327,36,0,45298.42,MINUTE_1,1704169560,1704169619,2024-01-02,2024-01-02 04:26:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45298.36,45298.65,45298.55,45298.59,39280.49,0.867148,21801.48,0.481285,33,0,45298.49,MINUTE_1,1704169620,1704169679,2024-01-02,2024-01-02 04:27:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45297.21,45298.59,45298.59,45298.53,12655.6,0.279386,8833.05,0.195,17,0,45297.92,MINUTE_1,1704169680,1704169739,2024-01-02,2024-01-02 04:28:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45298.59,45351.16,45298.59,45351.16,34743.88,0.766521,22509.47,0.496597,37,0,45326.72,MINUTE_1,1704169740,1704169799,2024-01-02,2024-01-02 04:29:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45318.26,45364.08,45348.48,45318.93,97326.12,2.146784,46346.68,1.022288,79,0,45335.77,MINUTE_1,1704169800,1704169859,2024-01-02,2024-01-02 04:30:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45282.5,45320.24,45318.15,45287.7,93830.35,2.071183,48497.57,1.070432,68,0,45302.78,MINUTE_1,1704169860,1704169919,2024-01-02,2024-01-02 04:31:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45272.34,45291.42,45288.07,45284.35,97539.87,2.154044,61160.31,1.350643,86,0,45282.21,MINUTE_1,1704169920,1704169979,2024-01-02,2024-01-02 04:32:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45272.3,45320.23,45282.39,45279.18,105522.43,2.329888,54692.23,1.207518,88,0,45290.78,MINUTE_1,1704169980,1704170039,2024-01-02,2024-01-02 04:33:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45272.29,45281.96,45278.53,45272.34,92661.75,2.046539,35290.12,0.779409,72,0,45277.29,MINUTE_1,1704170040,1704170099,2024-01-02,2024-01-02 04:34:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45241.91,45272.37,45272.33,45268.74,90795.29,2.00585,48811.64,1.078326,88,0,45265.24,MINUTE_1,1704170100,1704170159,2024-01-02,2024-01-02 04:35:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45239.5,45273.41,45263.6,45255.57,101249.97,2.237134,48705.42,1.076173,78,0,45258.78,MINUTE_1,1704170160,1704170219,2024-01-02,2024-01-02 04:36:59.999,2024-01-09 01:44:20.000,2024,1,2,4
BTC_USDT,45240.55,45268.98,45242.42,45268.8,87808.5,1.940319,46468.92,1.02682,60,0,45254.67,MINUTE_1,1704170220,1704170279,2024-01-02,2024-01-02 04:37:59.999,2024-01-09 01:44:20.000,2024,1,2,4
