id,low,high,open,close,volume,dt
ADA_USDT,0.56917,0.65427,0.65421,0.6189,13144026,2023-12-14
BCH_USDT,230.36,237.17,234.97,236.94,15580520,2023-12-14
DOGE_USDT,0.08928,0.09195,0.089916,0.091947,6847065.5,2023-12-14
ADA_USDT,0.5601,0.63,0.61784,0.56688,15174740,2023-12-15
DOGE_USDT,0.08585,0.093,0.091947,0.08883,8530233,2023-12-15
BTC_USDT,41711.33,43082.31,43012.85,41929.8,152498688,2023-12-15
TRX_USDT,0.10141,0.10694,0.10598,0.10155,13599584,2023-12-15
ETH_USDT,2201.6,2317.64,2315.36,2220.88,79941384,2023-12-15
SHIB_USDT,0.000009498,0.000009821,0.00000981,0.000009513,9026951,2023-12-15
BNB_USDT,240.43,250.98,250.98,241.45,9123434,2023-12-15
LTC_USDT,69.891,72.15,72.109,70.205,15431814,2023-12-15
BCH_USDT,230.35,237.05,236.9,230.35,14945264,2023-12-15
XRP_USDT,0.581,0.612,0.6032,0.5889,14189646,2023-12-15
MKR_USDT,1310.97,1371.73,1367.03,1317.46,2715341.5,2023-12-15
TRX_USDT,0.10118,0.10318,0.10154,0.10283,13981335,2023-12-16
LTC_USDT,70.035,71.769,70.204,71.423,16566144,2023-12-16
DOGE_USDT,0.088016,0.092528,0.08883,0.091335,11962957,2023-12-16
BTC_USDT,41720.6,42705.73,41928.87,42277.93,149727248,2023-12-16
XRP_USDT,0.582,0.5963,0.5884,0.587,15577442,2023-12-16
SHIB_USDT,0.000009434,0.000010361,0.000009507,0.000010361,8250904.5,2023-12-16
BCH_USDT,228.91,232.51,230.35,230.3,16104919,2023-12-16
BNB_USDT,240.54,245,241.5,241.84,8971939,2023-12-16
ADA_USDT,0.56621,0.6053,0.56677,0.59837,17979082,2023-12-16
MKR_USDT,1306.87,1382.91,1317.44,1334.36,2725994,2023-12-16
ETH_USDT,2220.71,2262.71,2220.72,2228.84,77433968,2023-12-16
DOGE_USDT,0.088142,0.093481,0.091335,0.089999,11830163,2023-12-17
ETH_USDT,2201.45,2249.8,2228.81,2201.45,77766824,2023-12-17
LTC_USDT,69.786,72.368,71.421,70.23,17101226,2023-12-17
ADA_USDT,0.5601,0.60345,0.59827,0.57346,17057724,2023-12-17
BNB_USDT,236.73,241.91,241.77,237.06,9248430,2023-12-17
SHIB_USDT,0.000009862,0.00001038,0.000010361,0.000010155,7694460,2023-12-17
XRP_USDT,0.58,0.5969,0.5869,0.5931,14565061,2023-12-17
MKR_USDT,1320.79,1352.35,1334.06,1322.41,2746924.5,2023-12-17
BTC_USDT,41300,42418.51,42285.04,41362.46,151514976,2023-12-17
TRX_USDT,0.10201,0.10341,0.10283,0.10202,15041798,2023-12-17
BCH_USDT,226.51,231,230.3,226.54,16983536,2023-12-17
ADA_USDT,0.53556,0.58838,0.57355,0.57825,17084176,2023-12-18
SHIB_USDT,0.000009549,0.000010247,0.000010146,0.000010161,6371714.5,2023-12-18
XRP_USDT,0.5666,0.5958,0.5931,0.5816,16663112,2023-12-18
BNB_USDT,212.67,237.07,237.01,235.21,8433768,2023-12-18
BCH_USDT,224.61,228.94,226.53,228.83,8208718,2023-12-18
TRX_USDT,0.09806,0.10204,0.10202,0.1009,14177319,2023-12-18
LTC_USDT,67.128,70.56,70.229,69.938,13150777,2023-12-18
BTC_USDT,40700,42724.58,41362.42,42646.42,157705280,2023-12-18
DOGE_USDT,0.084955,0.090735,0.089998,0.086904,13741350,2023-12-18
MKR_USDT,1259.89,1342.57,1322.46,1294.46,2708459.2,2023-12-18
ETH_USDT,2122.52,2221.57,2201.45,2218.13,75793128,2023-12-18
DOGE_USDT,0.084512,0.089585,0.0869,0.087462,11421649,2023-12-19
BTC_USDT,41786.6,43413.12,42647.6,42273.56,156083392,2023-12-19
MKR_USDT,1262.36,1313.32,1294.73,1293.6,2753367.8,2023-12-19
SHIB_USDT,0.000009913,0.000010358,0.00001016,0.000010027,11114812,2023-12-19
BCH_USDT,227.04,230.88,228.86,227.05,12560107,2023-12-19
ETH_USDT,2144.48,2254.18,2218.67,2182.03,79397440,2023-12-19
ADA_USDT,0.52,0.59577,0.57911,0.56902,11176115,2023-12-19
XRP_USDT,0.5701,0.6077,0.5816,0.5813,13064610,2023-12-19
BNB_USDT,213.99,247.8,235.21,246.65,6289257,2023-12-19
TRX_USDT,0.10004,0.10161,0.10089,0.10062,14978443,2023-12-19
LTC_USDT,67.5,70.332,69.945,69.313,15152554,2023-12-19
ETH_USDT,2159.54,2264.13,2181.89,2201.88,82229992,2023-12-20
DOGE_USDT,0.0855,0.088923,0.087441,0.086899,13363359,2023-12-20
LTC_USDT,67.14,70.2,69.334,68.368,16885976,2023-12-20
BNB_USDT,232,250,246.52,241.31,8744182,2023-12-20
TRX_USDT,0.10055,0.10332,0.10062,0.10277,14641204,2023-12-20
XRP_USDT,0.5706,0.5943,0.5812,0.5831,16280829,2023-12-20
BCH_USDT,226.66,233.87,227.05,229.82,13831202,2023-12-20
ADA_USDT,0.46,0.58999,0.56945,0.57407,16587012,2023-12-20
SHIB_USDT,0.000009871,0.000010348,0.000010027,0.000010099,9991342,2023-12-20
BTC_USDT,42194.23,44232.33,42282.36,43656.73,156504928,2023-12-20
MKR_USDT,1276.7,1319.83,1293.41,1289.72,2729890,2023-12-20
XRP_USDT,0.5764,0.6079,0.5831,0.5938,14187505,2023-12-21
BTC_USDT,43324.86,44205.33,43655.03,43856.85,165372288,2023-12-21
SHIB_USDT,0.000010035,0.00001027,0.000010099,0.00001027,11847019,2023-12-21
TRX_USDT,0.10255,0.10487,0.10273,0.10463,14926352,2023-12-21
LTC_USDT,67.51,70.097,68.369,69.977,16425938,2023-12-21
ADA_USDT,0.451,0.62679,0.57413,0.62383,11630044,2023-12-21
DOGE_USDT,0.085,0.091537,0.086899,0.091285,11807582,2023-12-21
BNB_USDT,232.93,271.83,241.36,269.38,8013048.5,2023-12-21
BCH_USDT,228.78,233.87,229.79,233.01,16576221,2023-12-21
MKR_USDT,1287.95,1348.33,1291.43,1326.8,2755332.8,2023-12-21
ETH_USDT,2184.33,2276.94,2202.78,2240.1,81879792,2023-12-21
ETH_USDT,2232.47,2340.27,2240,2324.02,81921744,2023-12-22
XRP_USDT,0.5825,0.6075,0.594,0.5999,13254834,2023-12-22
BNB_USDT,262.82,274.11,269.5,270.3,8987544,2023-12-22
